,user,buddy1,buddy2,buddy3,buddy4,buddy5,buddy6,number
0,u4001,,,,,,,0
1,u4002,,,,,,,0
2,u4003,,,,,,,0
3,u4004,,,,,,,0
4,u4005,,,,,,,0
5,u4006,,,,,,,0
6,u4007,,,,,,,0
7,u4008,u4012,,,,,,1
8,u4009,u4005,,,,,,1
9,u4010,u3001,u3002,u3003,u3004,u3005,u3006,6
10,u4011,u4005,u4001,u4019,u4066,u4201,,5
11,u4012,u4001,u4002,u4003,u4004,u4005,u4006,6
12,u4013,u4100,u4100,u4100,u4100,u4100,u4100,6
13,u4014,,,,,,,0
14,u4015,,,,,,,0
15,u4016,,,,,,,0
16,u4017,,,,,,,0
17,u4018,,,,,,,0
18,u4019,,,,,,,0
19,u4020,,,,,,,0
20,u4021,,,,,,,0
21,u4022,u4022,,,,,,1
22,u4023,,,,,,,0
23,u4024,,,,,,,0
24,u4025,,,,,,,0
25,u4026,,,,,,,0
26,u4027,,,,,,,0
27,u4028,,,,,,,0
28,u4029,,,,,,,0
29,u4030,,,,,,,0
30,u4031,u3028,u3029,u3030,u3032,u3033,u3034,6
31,u4032,u3029,u3030,u3031,u3033,u3034,u3035,6
32,u4033,u3030,u3031,u3032,u3034,u3035,u3036,6
33,u4034,u4038,,,,,,1
34,u4035,u3032,u3034,u3037,u3033,u3036,u3038,6
35,u4036,,,,,,,0
36,u4037,u4030,u4020,u4037,,,,3
37,u4038,u4038,,,,,,1
38,u4039,u4009,u4010,u4112,u4120,u4095,u4096,6
39,u4040,u4045,,,,,,1
40,u4041,,,,,,,0
41,u4042,unan,unan,unan,unan,unan,unan,6
42,u4043,,,,,,,0
43,u4044,u4001,u4001,u4001,u4001,u4001,,5
44,u4045,u4041,u4056,u4057,,,,3
45,u4046,,,,,,,0
46,u4047,,,,,,,0
47,u4048,,,,,,,0
48,u4049,,,,,,,0
49,u4050,u3047,u3048,u3049,u3051,u3052,u3053,6
50,u4051,u4058,u4062,u4056,,,,3
51,u4052,,,,,,,0
52,u4053,,,,,,,0
53,u4054,u4010,u4076,u4193,u4154,u4228,u4247,6
54,u4055,,,,,,,0
55,u4056,u4001,u4222,u4231,u4123,u4158,u4199,6
56,u4057,,,,,,,0
57,u4058,,,,,,,0
58,u4059,,,,,,,0
59,u4060,,,,,,,0
60,u4061,,,,,,,0
61,u4062,,,,,,,0
62,u4063,,,,,,,0
63,u4064,,,,,,,0
64,u4065,,,,,,,0
65,u4066,,,,,,,0
66,u4067,u3064,u3065,u3066,u3068,u3069,u3070,6
67,u4068,,,,,,,0
68,u4069,u3068,u3070,u3072,u3071,u3073,u3074,6
69,u4070,u4070,,,,,,1
70,u4071,,,,,,,0
71,u4072,u3070,u3072,u3071,u3073,u3074,u3074,6
72,u4073,,,,,,,0
73,u4074,,,,,,,0
74,u4075,,,,,,,0
75,u4076,,,,,,,0
76,u4077,,,,,,,0
77,u4078,u4083,,,,,,1
78,u4079,u3002,u3003,u3004,u3005,u3006,u3007,6
79,u4080,,,,,,,0
80,u4081,u4076,u4075,u4074,,,,3
81,u4082,,,,,,,0
82,u4083,u4002,u4003,u4004,u4005,u4006,u4007,6
83,u4084,,,,,,,0
84,u4085,,,,,,,0
85,u4086,u4086,,,,,,1
86,u4087,,,,,,,0
87,u4088,u4001,u4255,u4256,u4100,u4101,u4102,6
88,u4089,u3001,u3002,u3003,u3004,u3005,u3006,6
89,u4090,u4090,,,,,,1
90,u4091,,,,,,,0
91,u4092,,,,,,,0
92,u4093,,,,,,,0
93,u4094,,,,,,,0
94,u4095,,,,,,,0
95,u4096,,,,,,,0
96,u4097,u4117,u4123,u4152,u4175,u4135,u4178,6
97,u4098,u4098,,,,,,1
98,u4099,,,,,,,0
99,u4100,,,,,,,0
100,u4101,,,,,,,0
101,u4102,u4001,u4002,u4109,u4109,u4121,,5
102,u4103,,,,,,,0
103,u4104,,,,,,,0
104,u4105,u4101,u4105,,,,,2
105,u4106,,,,,,,0
106,u4107,u4107,,,,,,1
107,u4108,,,,,,,0
108,u4109,,,,,,,0
