userId,friendId,weight
u4013,u4012,1
u4014,u4012,1
u4021,u4019,1
u4022,u4116,1
u4027,u4028,1
u4028,u4027,1
u4029,u4028,1
u4029,u4030,1
u4029,u4032,1
u4030,u4027,1
u4032,u4033,3
u4033,u4035,3
u4034,u4033,2
u4035,u4032,1
u4035,u4033,1
u4035,u4038,1
u4037,u4034,2
u4037,u4035,2
u4037,u4038,2
u4038,u4041,2
u4040,u4037,3
u4040,u4038,1
u4040,u4041,1
u4044,u4046,2
u4046,u4049,1
u4050,u4052,1
u4051,u4050,1
u4051,u4052,1
u4051,u4054,1
u4052,u4055,1
u4054,u4052,1
u4054,u4055,2
u4054,u4056,1
u4056,u4055,1
u4057,u4054,2
u4057,u4055,1
u4057,u4058,3
u4057,u4059,1
u4057,u4060,5
u4058,u4055,1
u4058,u4056,1
u4059,u4056,1
u4059,u4058,2
u4059,u4060,2
u4059,u4061,1
u4059,u4051,1
u4060,u4058,5
u4060,u4061,1
u4061,u4058,2
u4061,u4059,1
u4061,u4060,2
u4061,u4064,1
u4064,u4067,1
u4067,u4065,1
u4068,u4067,1
u4068,u4069,1
u4068,u4070,1
u4069,u4067,2
u4070,u4067,1
u4070,u4069,1
u4070,u4083,1
u4071,u4068,1
u4071,u4069,3
u4071,u4070,1
u4073,u4071,2
u4087,u4089,2
u4089,u4092,4
u4091,u4089,1
u4091,u4092,1
u4093,u4091,1
u4093,u4092,1
u4095,u4092,1
u4095,u4093,1
u4095,u4097,2
u4104,u4106,1
u4104,u4107,1
u4106,u4107,1
u4108,u4109,1
u4108,u4111,1
u4110,u4109,1
u4110,u4112,1
u4111,u4109,4
u4111,u4110,2
u4111,u4112,1
u4111,u4114,1
u4112,u4109,1
u4114,u4115,1
u4115,u4112,1
u4115,u4116,2
u4116,u4114,1
u4116,u4115,6
u4116,u4097,2
u4119,u4116,1
u4126,u4124,1
u4127,u4126,1
u4129,u4197,1
u4132,u4221,1
u4135,u4205,1
u4137,u4193,5
u4138,u4205,2
u4138,u4220,1
u4138,u4193,1
u4139,u4137,1
u4140,u4217,2
u4142,u4231,1
u4142,u4240,1
u4144,u4162,1
u4144,u4221,1
u4145,u4161,3
u4145,u4251,1
u4147,u4205,1
u4147,u4209,1
u4147,u4211,1
u4148,u4169,1
u4149,u4135,1
u4149,u4152,1
u4149,u4192,2
u4149,u4234,1
u4151,u4223,1
u4152,u4149,2
u4152,u4193,3
u4153,u4193,3
u4154,u4137,1
u4154,u4187,1
u4158,u4169,14
u4158,u4213,1
u4160,u4144,1
u4161,u4160,1
u4161,u4217,1
u4165,u4132,1
u4166,u4152,2
u4166,u4169,1
u4166,u4217,1
u4166,u4193,3
u4167,u4194,1
u4167,u4222,2
u4168,u4138,1
u4168,u4189,1
u4169,u4153,3
u4169,u4158,1
u4169,u4166,1
u4169,u4211,1
u4171,u4189,1
u4171,u4235,1
u4174,u4203,1
u4174,u4182,1
u4181,u4141,1
u4182,u4139,1
u4182,u4223,1
u4182,u4234,1
u4182,u4193,2
u4182,u4158,1
u4182,u4153,1
u4182,u4235,1
u4182,u4231,1
u4182,u4242,1
u4182,u4187,1
u4182,u4169,1
u4182,u4149,1
u4182,u4137,2
u4182,u4224,2
u4182,u4220,1
u4185,u4237,1
u4188,u4205,3
u4188,u4220,2
u4188,u4254,1
u4189,u4222,1
u4189,u4231,2
u4189,u4193,4
u4190,u4140,1
u4190,u4224,2
u4191,u4169,1
u4193,u4137,6
u4193,u4153,1
u4193,u4158,1
u4193,u4235,2
u4193,u4231,1
u4193,u4163,1
u4194,u4189,2
u4194,u4209,1
u4194,u4221,2
u4199,u4174,1
u4209,u4229,1
u4211,u4169,1
u4211,u4221,1
u4212,u4142,1
u4213,u4129,1
u4215,u4137,3
u4215,u4197,1
u4215,u4212,1
u4215,u4237,1
u4215,u4241,1
u4217,u4140,1
u4217,u4161,2
u4217,u4241,1
u4220,u4135,1
u4220,u4188,2
u4220,u4191,1
u4220,u4138,1
u4221,u4211,1
u4222,u4189,3
u4223,u4140,1
u4224,u4223,2
u4224,u4231,2
u4224,u4229,2
u4226,u4162,1
u4228,u4224,1
u4229,u4187,3
u4229,u4209,1
u4229,u4224,2
u4231,u4142,3
u4231,u4189,8
u4231,u4224,6
u4231,u4193,1
u4232,u4193,5
u4235,u4193,1
u4238,u4187,1
u4238,u4229,1
u4238,u4193,1
u4245,u4193,1
u4251,u4223,2
u4254,u4147,1
