userId,friendId,weight
u4129,u4197,1
u4132,u4221,1
u4135,u4205,1
u4137,u4193,5
u4138,u4205,2
u4138,u4220,1
u4138,u4193,1
u4139,u4137,1
u4140,u4217,2
u4142,u4231,1
u4142,u4240,1
u4144,u4162,1
u4144,u4221,1
u4145,u4161,3
u4145,u4251,1
u4147,u4205,1
u4147,u4209,1
u4147,u4211,1
u4148,u4169,1
u4149,u4135,1
u4149,u4152,1
u4149,u4192,2
u4149,u4234,1
u4151,u4223,1
u4152,u4149,2
u4152,u4193,3
u4153,u4193,3
u4154,u4137,1
u4154,u4187,1
u4158,u4169,14
u4158,u4213,1
u4160,u4144,1
u4161,u4160,1
u4161,u4217,1
u4165,u4132,1
u4166,u4152,2
u4166,u4169,1
u4166,u4217,1
u4166,u4193,3
u4167,u4194,1
u4167,u4222,2
u4168,u4138,1
u4168,u4189,1
u4169,u4153,3
u4169,u4158,1
u4169,u4166,1
u4169,u4211,1
u4171,u4189,1
u4171,u4235,1
u4174,u4203,1
u4174,u4182,1
u4181,u4141,1
u4182,u4139,1
u4182,u4223,1
u4182,u4234,1
u4182,u4193,2
u4182,u4158,1
u4182,u4153,1
u4182,u4235,1
u4182,u4231,1
u4182,u4242,1
u4182,u4187,1
u4182,u4169,1
u4182,u4149,1
u4182,u4137,2
u4182,u4224,2
u4182,u4220,1
u4185,u4237,1
u4188,u4205,3
u4188,u4220,2
u4188,u4254,1
u4189,u4222,1
u4189,u4231,2
u4189,u4193,4
u4190,u4140,1
u4190,u4224,2
u4191,u4169,1
u4193,u4137,6
u4193,u4153,1
u4193,u4158,1
u4193,u4235,2
u4193,u4231,1
u4193,u4163,1
u4194,u4189,2
u4194,u4209,1
u4194,u4221,2
u4199,u4174,1
u4209,u4229,1
u4211,u4169,1
u4211,u4221,1
u4212,u4142,1
u4213,u4129,1
u4215,u4137,3
u4215,u4197,1
u4215,u4212,1
u4215,u4237,1
u4215,u4241,1
u4217,u4140,1
u4217,u4161,2
u4217,u4241,1
u4220,u4135,1
u4220,u4188,2
u4220,u4191,1
u4220,u4138,1
u4221,u4211,1
u4222,u4189,3
u4223,u4140,1
u4224,u4223,2
u4224,u4231,2
u4224,u4229,2
u4226,u4162,1
u4228,u4224,1
u4229,u4187,3
u4229,u4209,1
u4229,u4224,2
u4231,u4142,3
u4231,u4189,8
u4231,u4224,6
u4231,u4193,1
u4232,u4193,5
u4235,u4193,1
u4238,u4187,1
u4238,u4229,1
u4238,u4193,1
u4245,u4193,1
u4251,u4223,2
u4254,u4147,1
