,user,buddy1,buddy2,buddy3,buddy4,buddy5,buddy6,number
0,u4001,u4002,u4003,u4004,u4126,u4127,u4128,6
1,u4002,,,,,,,0
2,u4003,,,,,,,0
3,u4004,u4001,u4002,u4003,u4005,u4006,u4007,6
4,u4005,,,,,,,0
5,u4006,u4003,u4004,u4005,u4007,u4008,u4009,6
6,u4007,,,,,,,0
7,u4008,u4005,u4006,u4009,u4010,u4011,,5
8,u4009,u4006,u4007,u4008,u4010,u4012,,5
9,u4010,,,,,,,0
10,u4011,u4012,,,,,,1
11,u4012,,,,,,,0
12,u4013,,,,,,,0
13,u4014,u4011,u4012,u4013,u4015,u4016,u4017,6
14,u4015,u4012,u4013,u4014,u4016,u4017,u4018,6
15,u4016,u4013,u4014,u4015,u4017,u4018,u4019,6
16,u4017,u4014,u4015,u4016,u4018,u4019,u4020,6
17,u4018,u4015,u4016,u4017,u4019,u4020,u4021,6
18,u4019,u4016,u4017,u4018,u4020,u4021,u4022,6
19,u4020,u4017,u4018,u4019,u4021,u4022,u4023,6
20,u4021,u4018,u4019,u4020,u4022,u4023,u4024,6
21,u4022,u4019,u4020,u4021,u4023,u4024,,5
22,u4023,,,,,,,0
23,u4024,u4021,u4022,u4023,u4025,u4026,u4027,6
24,u4025,,,,,,,0
25,u4026,u4023,u4024,u4025,u4027,u4028,u4029,6
26,u4027,u4024,u4025,u4026,u4028,u4029,u4030,6
27,u4028,u4025,u4026,u4027,u4029,u4030,u4031,6
28,u4029,u4026,u4027,u4028,u4030,u4031,u4032,6
29,u4030,u4027,u4028,u4029,u4031,u4032,u4033,6
30,u4031,,,,,,,0
31,u4032,,,,,,,0
32,u4033,,,,,,,0
33,u4034,u4032,u4033,u4035,u4036,u4037,,5
34,u4035,,,,,,,0
35,u4036,u4033,u4034,u4035,u4037,u4038,u4039,6
36,u4037,u4002,u4035,u4052,,,,3
37,u4038,u4035,u4036,u4037,u4039,u4041,,5
38,u4039,,,,,,,0
39,u4040,u4037,u4038,u4041,u4042,u4043,,5
40,u4041,u4038,u4039,u4040,u4042,u4043,u4044,6
41,u4042,,,,,,,0
42,u4043,,,,,,,0
43,u4044,u4046,,,,,,1
44,u4045,u4042,u4043,u4044,,,,3
45,u4046,u4043,u4044,u4045,u4047,u4048,u4049,6
46,u4047,,,,,,,0
47,u4048,,,,,,,0
48,u4049,u4046,u4047,u4048,u4050,u4051,u4052,6
49,u4050,,,,,,,0
50,u4051,u4050,u4052,u4054,,,,3
51,u4052,u4037,u4049,u4050,u4051,u4053,u4054,6
52,u4053,,,,,,,0
53,u4054,,,,,,,0
54,u4055,u4052,u4053,u4054,u4056,u4057,u4058,6
55,u4056,,,,,,,0
56,u4057,u4054,u4055,u4056,u4058,u4059,u4060,6
57,u4058,u4055,u4056,u4057,u4059,u4060,u4061,6
58,u4059,u4056,u4057,u4058,u4060,u4061,u4062,6
59,u4060,u4057,u4058,u4059,u4061,u4062,u4063,6
60,u4061,u4058,u4059,u4060,u4062,u4063,u4064,6
61,u4062,u4059,u4060,u4061,u4063,u4064,u4065,6
62,u4063,u4060,u4061,u4062,u4064,u4065,u4066,6
63,u4064,,,,,,,0
64,u4065,u4062,u4063,u4064,u4066,u4067,u4068,6
65,u4066,u4063,u4064,u4065,u4067,u4068,u4069,6
66,u4067,,,,,,,0
67,u4068,u4065,u4066,u4067,u4069,u4070,u4071,6
68,u4069,,,,,,,0
69,u4070,u4067,u4068,u4069,u4072,u4073,,5
70,u4071,u4068,u4069,u4070,u4072,u4073,u4074,6
71,u4072,,,,,,,0
72,u4073,u4070,u4071,u4072,u4074,u4075,u4076,6
73,u4074,,,,,,,0
74,u4075,,,,,,,0
