Similar Age, Same Gender, Same Primary Addiction, Same Secondary Addiction, Same Education, Same Income, Both Current Smokers, Both Ex-Smokers, Closeness
0,0,0,0,0,0,0,0,not close
1,0,1,0,0,0,0,0,not close
0,0,0,0,0,1,1,0,not close
0,1,0,0,0,0,1,0,not close
1,0,0,0,0,0,0,0,not close
0,0,0,0,0,1,1,0,not close
0,0,0,0,0,1,1,0,not close
0,1,1,0,0,0,0,0,not close
0,1,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,1,0,0,0,0,0,0,not close
0,1,1,0,0,0,0,0,not close
1,1,1,0,0,0,0,1,not close
0,1,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,1,not close
0,1,0,0,0,0,0,0,not close
1,0,0,0,0,0,0,0,not close
0,1,0,0,1,1,0,0,not close
1,0,0,0,0,0,0,0,somewhat close
0,1,0,0,1,0,0,0,not close
0,0,0,0,0,0,1,0,not close
0,1,0,0,0,0,0,0,not close
0,1,1,0,1,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,1,0,not close
0,0,0,1,0,0,0,0,not close
0,1,0,0,1,1,0,0,not close
0,1,0,0,0,0,0,0,not close
0,1,0,0,0,0,1,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,very close
0,0,0,0,0,0,0,0,very close
0,0,0,0,0,0,0,0,very close
0,0,0,0,0,0,0,0,very close
0,0,0,0,0,0,0,0,very close
0,0,0,0,0,0,0,0,very close
0,0,1,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,somewhat close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,very close
0,0,0,0,0,0,0,0,somewhat close
0,0,0,0,0,0,0,0,somewhat close
0,0,0,0,0,0,0,0,somewhat close
0,0,0,0,0,0,0,0,somewhat close
0,0,0,0,0,0,0,0,somewhat close
0,0,0,0,0,0,0,0,very close
0,0,0,0,0,0,0,0,somewhat close
0,0,0,0,0,0,0,0,somewhat close
0,0,0,0,0,0,0,0,somewhat close
0,0,0,0,0,0,0,0,somewhat close
0,0,0,0,0,0,0,0,very close
1,1,0,0,0,0,0,1,not close
0,0,0,0,0,0,0,0,not close
0,1,0,0,0,0,0,0,not close
1,0,1,0,1,1,0,1,somewhat close
0,1,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,1,not close
0,1,0,1,0,0,0,0,not close
0,0,0,1,0,0,0,0,not close
1,0,1,0,1,1,0,1,not close
0,0,0,0,0,0,0,0,not close
0,1,0,1,0,0,0,1,not close
0,0,0,1,0,1,0,0,not close
0,1,1,0,1,0,0,0,not close
0,1,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
1,0,1,0,1,1,0,0,not close
0,1,1,0,1,0,0,0,not close
0,1,1,0,0,1,0,0,not close
0,0,0,0,0,0,0,1,not close
0,1,0,1,0,0,0,1,not close
1,0,1,0,1,1,0,0,not close
0,0,1,1,1,0,0,0,not close
0,0,1,0,0,1,0,0,not close
0,0,1,1,1,0,0,1,not close
0,0,0,1,0,1,0,0,not close
0,1,1,0,1,0,0,0,not close
0,0,1,1,1,0,0,0,not close
1,1,1,0,0,0,0,0,not close
0,1,1,0,1,0,0,0,not close
0,0,1,1,1,1,0,0,not close
0,0,1,0,0,1,0,0,not close
0,1,1,0,0,1,0,0,not close
0,1,1,0,0,0,0,0,not close
1,0,0,0,0,0,0,0,not close
0,0,1,0,0,0,0,0,not close
1,1,1,0,0,0,0,0,not close
0,0,1,1,1,0,0,1,somewhat close
0,1,1,0,1,0,0,0,not close
0,1,1,0,0,0,0,0,not close
0,0,1,0,1,0,0,1,not close
0,0,0,0,0,0,0,0,somewhat close
0,0,1,1,0,0,0,0,not close
0,0,1,1,1,1,0,0,not close
0,0,1,0,0,0,0,0,not close
0,0,1,0,1,0,0,1,not close
0,1,0,0,0,0,0,0,not close
1,1,1,0,0,1,0,0,not close
1,0,0,1,0,1,0,1,not close
1,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,1,0,0,0,0,0,0,not close
0,1,0,0,0,0,1,0,not close
0,0,0,1,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,1,0,0,0,0,not close
1,0,0,1,0,1,0,1,not close
0,1,0,0,0,0,0,0,not close
0,1,0,0,0,0,0,0,not close
1,1,0,1,0,0,0,0,not close
1,0,0,0,1,1,0,0,not close
0,1,0,0,0,0,0,0,not close
1,1,1,0,0,0,0,0,not close
0,1,1,0,1,0,0,0,not close
0,1,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,1,0,0,0,0,0,not close
1,1,0,1,0,0,0,0,not close
0,1,1,0,0,0,0,0,not close
0,1,1,0,1,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,1,0,1,0,0,0,0,not close
0,1,0,0,1,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,1,not close
0,0,0,1,0,0,0,0,not close
0,1,0,0,0,0,0,0,not close
0,1,0,0,0,0,0,0,not close
0,1,0,1,0,0,0,0,not close
0,0,0,0,0,0,0,1,not close
0,1,1,0,0,0,0,0,not close
0,0,1,0,0,1,0,0,not close
0,0,0,0,0,0,0,0,not close
0,1,0,0,1,0,0,0,not close
0,0,0,1,0,0,0,0,not close
0,1,1,0,0,0,0,0,not close
0,0,1,0,0,0,0,0,not close
1,0,0,1,0,0,0,0,not close
0,1,1,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,1,1,0,1,1,0,0,not close
1,1,0,0,0,1,0,0,not close
1,1,1,0,0,1,0,0,not close
0,1,0,0,1,1,0,1,not close
1,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,1,0,0,0,1,0,0,not close
1,1,0,0,0,1,0,0,not close
0,1,0,0,0,1,0,0,not close
1,1,0,0,0,1,0,0,not close
1,1,0,0,0,0,0,0,not close
1,1,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,1,1,0,0,1,0,0,not close
0,1,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
1,1,0,0,0,0,0,0,not close
0,1,0,0,1,0,0,0,not close
1,1,0,0,0,0,0,0,not close
0,1,0,0,1,1,0,1,very close
1,1,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
1,0,0,0,0,0,0,0,not close
1,0,1,0,0,1,0,0,not close
1,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
1,1,0,0,0,0,0,0,not close
0,1,0,0,0,0,0,0,not close
1,0,1,0,0,1,0,0,not close
0,1,0,0,1,0,0,0,not close
0,1,0,0,0,0,0,0,not close
1,0,1,0,0,1,0,0,not close
0,0,0,0,0,0,0,1,not close
0,0,0,0,0,0,0,0,not close
0,0,0,0,0,0,0,0,not close
